City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
337,vanavara,64,RU,1516509786,37,60.35,102.28,-24.5,6.58
338,nakasongola,0,UG,1516509787,74,1.32,32.46,72.3,5.28
339,victor harbor,0,AU,1516507200,61,-35.55,138.62,82.4,17.22
340,george town,75,MY,1516507200,70,5.42,100.33,87.8,3.36
341,puerto carreno,32,CO,1516509788,87,6.19,-67.49,68.34,2.77
342,faya,0,SA,1516507200,65,18.39,42.45,46.4,3.36
343,salalah,0,OM,1516506600,68,17.01,54.1,68.0,4.7
344,paamiut,56,GL,1516509789,86,61.99,-49.67,32.66,37.04
345,kungurtug,20,RU,1516509790,48,50.6,97.53,-12.84,3.0
346,camopi,12,GF,1516509790,95,3.17,-52.33,70.82,2.26
347,robertsport,0,LR,1516509791,100,6.75,-11.37,81.26,11.05
348,mastic beach,1,US,1516508100,86,40.77,-72.85,41.0,3.36
349,tokat,0,TR,1516506600,79,40.33,36.55,23.0,11.41
350,banda aceh,80,ID,1516509667,88,5.56,95.32,80.85,2.21
351,stony plain,90,CA,1516507200,92,53.53,-114.0,19.4,2.24
352,neepawa,40,CA,1516507200,92,50.23,-99.46,21.2,10.29
353,mokhsogollokh,12,RU,1516509793,73,61.4,128.95,-37.1,3.56
354,khandyga,20,RU,1516509794,0,62.65,135.58,-49.61,2.59
355,elizabeth city,1,US,1516509300,56,36.3,-76.22,50.0,3.36
356,moncton,75,CA,1516507200,80,46.1,-64.8,35.6,14.99
357,henties bay,80,NA,1516509796,100,-22.12,14.28,63.71,4.9
358,lima,12,PE,1516509753,89,-12.06,-77.04,57.81,1.77
359,port-gentil,88,GA,1516509797,100,-0.72,8.78,78.51,4.23
360,santa teresa,20,VE,1516507200,78,10.26,-66.69,77.0,2.26
361,batemans bay,12,AU,1516509799,39,-35.71,150.18,88.59,5.91
362,comodoro rivadavia,0,AR,1516507200,82,-45.87,-67.48,59.0,8.25
363,nemuro,20,JP,1516507200,39,43.32,145.57,28.4,16.11
364,xingyi,0,CN,1516509801,60,24.19,102.82,63.03,6.02
365,kolokani,0,ML,1516509802,47,13.58,-8.03,60.02,12.17
366,richards bay,76,ZA,1516509802,79,-28.77,32.06,74.73,3.83
367,timbiqui,92,CO,1516509803,100,2.77,-77.67,72.03,3.04
368,pilikwe,0,BW,1516509803,38,-22.8,27.19,73.88,14.9
369,zermatt,75,CH,1516508400,75,46.02,7.75,46.4,10.29
370,cam ranh,92,VN,1516509804,99,11.92,109.15,74.19,9.26
371,parabel,0,RU,1516509805,0,58.71,81.5,-39.12,4.83
372,sumbe,44,AO,1516509805,100,-11.2,13.84,75.9,3.6
373,naze,12,NG,1516509805,95,5.43,7.07,70.5,3.78
374,elda,0,ES,1516509000,47,38.48,-0.8,59.0,9.17
375,khash,0,IR,1516509807,49,28.22,61.21,52.01,8.63
376,puerto del rosario,0,ES,1516509000,87,28.5,-13.86,60.8,3.36
377,beringovskiy,8,RU,1516509808,100,63.05,179.32,7.86,0.98
378,charters towers,92,AU,1516509808,64,-20.07,146.27,80.27,9.42
379,nome,90,US,1516508100,88,30.04,-94.42,66.2,9.17
380,ambon,90,FR,1516509000,93,47.55,-2.56,53.6,16.11
381,mahibadhoo,12,MV,1516509810,100,3.78,72.97,81.62,11.61
